"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Markdown", "TypeScript", "Python", "vue", "MS SQL", "PostCSS", "Shell Script", "Properties", "YAML", "Docker", "pip requirements", "HTML", "Ignore", "XML", "comment", "blank", "total"
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\buff\might.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\buff\precision.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\buff\protection.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\buff\quickness.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\buff\regeneration.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\buff\resilience.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\buff\resistance.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\buff\stability.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\buff\swiftness.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\buff\vigor.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\combat\axe.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\combat\bow.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\combat\dagger.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\combat\focus.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\combat\greatsword.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\combat\hammer.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\combat\harpoon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\combat\mace.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 7
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\combat\pistol.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\combat\relic.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\combat\rifle.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\combat\scepter.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\combat\shield.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\combat\spear.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\combat\staff.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\combat\sword.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\combat\torch.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\combat\warhorn.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\decor\circle.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
